Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,PE10
1990-03-01,338.46,11.32,21.67,128.7,8.59,632.35,21.15,40.49,16.83
1990-04-01,338.18,11.44,21.53,128.9,8.79,630.84,21.33,40.17,16.81
1990-05-01,350.25,11.55,21.4,129.2,8.76,651.84,21.5,39.82,17.39
1990-06-01,360.39,11.66,21.26,129.9,8.48,667.1,21.58,39.35,17.82
1990-07-01,360.03,11.73,21.42,130.4,8.47,663.88,21.62,39.5,17.75
1990-08-01,330.75,11.78,21.58,131.6,8.75,604.33,21.53,39.43,16.17
1990-09-01,315.41,11.83,21.74,132.7,8.89,571.52,21.44,39.39,15.3
1990-10-01,307.12,11.93,21.61,133.5,8.72,553.16,21.48,38.92,14.82
1990-11-01,315.29,12.01,21.47,133.8,8.39,566.61,21.59,38.59,15.19
1990-12-01,328.75,12.09,21.34,133.8,8.08,590.8,21.73,38.35,15.85
1991-01-01,325.49,12.11,21.18,134.6,8.09,581.46,21.63,37.84,15.61
1991-02-01,362.26,12.11,21.03,134.8,7.85,646.19,21.61,37.51,17.35
1991-03-01,372.28,12.11,20.94,135,8.11,663.08,21.57,37.3,17.82
1991-04-01,379.68,12.13,20.36,135.2,8.04,675.26,21.57,36.22,18.16
1991-05-01,377.99,12.14,19.86,135.6,8.07,670.27,21.53,35.21,18.04
1991-06-01,378.29,12.15,19.41,136,8.28,668.83,21.48,34.32,18.02
1991-07-01,380.23,12.19,18.84,136.2,8.27,671.27,21.53,33.26,18.1
1991-08-01,389.4,12.24,18.33,136.6,7.9,685.45,21.54,32.27,18.51
1991-09-01,387.2,12.28,17.82,137.2,7.65,678.59,21.52,31.23,18.36
1991-10-01,386.88,12.25,17.2,137.4,7.53,677.04,21.44,30.11,18.35
1991-11-01,385.92,12.23,16.59,137.8,7.42,673.4,21.33,28.94,18.29
1991-12-01,388.51,12.2,15.97,137.9,7.09,677.43,21.27,27.85,18.44
1992-01-01,416.08,12.24,16.05,138.1,7.03,724.45,21.31,27.94,19.77
1992-02-01,412.56,12.28,16.12,138.6,7.34,715.73,21.3,27.97,19.58
1992-03-01,407.36,12.32,16.19,139.3,7.54,703.16,21.27,27.95,19.28
1992-04-01,407.41,12.32,16.48,139.5,7.48,702.24,21.24,28.41,19.3
1992-05-01,414.81,12.32,16.77,139.7,7.39,713.97,21.21,28.86,19.66
1992-06-01,408.27,12.32,17.05,140.2,7.26,700.21,21.13,29.24,19.32
1992-07-01,415.05,12.34,17.38,140.5,6.84,710.32,21.12,29.74,19.62
1992-08-01,417.93,12.37,17.71,140.9,6.59,713.21,21.1,30.22,19.72
1992-09-01,418.48,12.4,18.04,141.3,6.42,712.13,21.1,30.7,19.71
1992-10-01,412.5,12.39,18.39,141.8,6.59,699.48,21,31.18,19.37
1992-11-01,422.84,12.38,18.74,142,6.87,716,20.97,31.73,19.83
1992-12-01,435.64,12.39,19.09,141.9,6.77,738.2,21,32.35,20.45
1993-01-01,435.23,12.41,19.34,142.6,6.6,733.88,20.93,32.61,20.32
1993-02-01,441.7,12.45,19.59,143.1,6.26,742.19,20.91,32.92,20.55
1993-03-01,450.16,12.48,19.84,143.6,5.98,753.77,20.9,33.22,20.86
1993-04-01,443.08,12.49,19.67,144,5.97,739.86,20.86,32.85,20.46
1993-05-01,445.25,12.51,19.5,144.2,6.04,742.45,20.85,32.52,20.52
1993-06-01,448.06,12.52,19.33,144.4,5.96,746.1,20.85,32.19,20.61
1993-07-01,447.29,12.52,19.69,144.4,5.81,744.82,20.85,32.79,20.56
1993-08-01,454.13,12.52,20.05,144.8,5.68,754.12,20.79,33.29,20.81
1993-09-01,459.24,12.52,20.41,145.1,5.36,761.03,20.75,33.82,20.99
1993-10-01,463.9,12.54,20.9,145.7,5.33,765.58,20.7,34.49,21.11
1993-11-01,462.89,12.56,21.39,145.8,5.72,763.39,20.71,35.28,21.04
1993-12-01,465.95,12.58,21.89,145.8,5.77,768.44,20.75,36.1,21.16
1994-01-01,472.99,12.62,22.16,146.2,5.75,777.91,20.76,36.44,21.41
1994-02-01,471.58,12.67,22.43,146.7,5.97,772.95,20.76,36.77,21.26
1994-03-01,463.81,12.71,22.71,147.2,6.48,757.63,20.76,37.1,20.83
1994-04-01,447.23,12.75,23.54,147.4,6.97,729.56,20.8,38.4,20.06
1994-05-01,450.9,12.8,24.37,147.5,7.18,735.05,20.86,39.73,20.2
1994-06-01,454.83,12.84,25.2,148,7.1,738.95,20.86,40.94,20.29
1994-07-01,451.4,12.87,25.91,148.4,7.3,731.4,20.85,41.98,20.07
1994-08-01,464.24,12.9,26.62,149,7.24,749.18,20.82,42.96,20.54
1994-09-01,466.96,12.92,27.33,149.4,7.46,751.55,20.79,43.99,20.58
1994-10-01,463.81,13.01,28.42,149.5,7.74,745.98,20.93,45.71,20.4
1994-11-01,461.01,13.1,29.51,149.7,7.96,740.48,21.04,47.4,20.21
1994-12-01,455.19,13.17,30.6,149.7,7.81,731.14,21.15,49.15,19.91
1995-01-01,465.25,13.18,31.25,150.3,7.78,744.31,21.09,49.99,20.22
1995-02-01,481.92,13.18,31.9,150.9,7.47,767.92,21,50.83,20.8
1995-03-01,493.15,13.17,32.55,151.4,7.2,783.21,20.92,51.7,21.15
1995-04-01,507.91,13.24,33.18,151.9,7.06,804,20.96,52.52,21.64
1995-05-01,523.81,13.31,33.8,152.2,6.63,827.54,21.02,53.4,22.2
1995-06-01,539.35,13.36,34.43,152.5,6.17,850.41,21.07,54.29,22.72
1995-07-01,557.37,13.44,34.68,152.5,6.28,878.82,21.19,54.68,23.38
1995-08-01,559.11,13.51,34.93,152.9,6.49,879.26,21.25,54.93,23.28
1995-09-01,578.77,13.58,35.18,153.2,6.2,908.4,21.31,55.22,23.95
1995-10-01,582.92,13.65,34.77,153.7,6.04,911.93,21.35,54.4,23.93
1995-11-01,595.53,13.72,34.37,153.6,5.93,932.27,21.48,53.8,24.35
1995-12-01,614.57,13.79,33.96,153.5,5.71,962.7,21.6,53.2,25.03
1996-01-01,614.42,13.89,33.99,154.4,5.65,956.85,21.64,52.93,24.76
