DATE,PRICE,Open,High,Low,Vol.,Change %
"Aug 27, 2017",5786.14,5803.4,5806.1,5711.7,4.62B,-0.30%
"Aug 20, 2017",5803.41,5798.5,5834.3,5754.5,4.62B,0.08%
"Aug 13, 2017",5798.51,5743.5,5852.7,5743.5,4.32B,0.96%
"Aug 06, 2017",5743.52,5773.3,5843.4,5725.8,4.40B,-0.52%
"Jul 30, 2017",5773.31,5755.2,5827.6,5755.2,4.49B,0.31%
"Jul 23, 2017",5755.24,5771.2,5846.2,5705.6,3.86B,-0.28%
"Jul 16, 2017",5771.19,5808.7,5818.5,5729.9,4.02B,-0.65%
"Jul 09, 2017",5808.67,5743.9,5820.8,5710.1,3.96B,1.13%
"Jul 02, 2017",5743.9,5764,5828,5717.3,4.20B,-0.35%
"Jun 25, 2017",5764.04,5754.6,5857.1,5724.9,4.85B,0.16%
"Jun 18, 2017",5754.55,5808,5840.2,5703.2,3.96B,-0.92%
"Jun 11, 2017",5808.05,5715.5,5863.8,5715.5,5.20B,1.62%
"Jun 04, 2017",5715.46,5821.2,5821.2,5670.7,4.13B,-1.81%
"May 28, 2017",5821.11,5791.6,5825.9,5720.5,4.10B,0.50%
"May 21, 2017",5792.06,5768.9,5835.2,5768.9,4.13B,0.40%
"May 14, 2017",5768.95,5870.9,5901.4,5736.4,4.38B,-1.74%
"May 07, 2017",5870.91,5863.8,5953.6,5852.5,4.56B,0.12%
"Apr 30, 2017",5863.81,5947.6,5976.43,5855,4.82B,-1.41%
"Apr 23, 2017",5947.59,5885.6,5949.1,5885.1,3.45B,1.05%
"Apr 16, 2017",5885.65,5925.9,5925.9,5826.7,4.45B,-0.68%
"Apr 09, 2017",5925.87,5902.6,5983.2,5902.6,3.83B,0.39%
"Apr 02, 2017",5902.57,5903.8,5928.3,5875.7,4.02B,-0.02%
"Mar 26, 2017",5903.84,5796.1,5937.2,5744.5,4.41B,1.86%
"Mar 19, 2017",5796.08,5840.8,5840.8,5728.8,4.38B,-0.77%
"Mar 12, 2017",5840.77,5811.2,5855.1,5769.5,4.90B,0.51%
"Mar 05, 2017",5811.16,5775.4,5817,5760.4,4.14B,0.62%
"Feb 26, 2017",5775.41,5786.9,5820.7,5724.1,5.12B,-0.20%
"Feb 19, 2017",5786.88,5851,5857.1,5778.8,4.67B,-1.10%
"Feb 12, 2017",5850.98,5771.6,5880.9,5771.6,4.53B,1.38%
"Feb 05, 2017",5771.59,5672.5,5772.7,5635.1,4.07B,1.75%
"Jan 29, 2017",5672.48,5765.6,5765.6,5661.2,3.97B,-1.61%
"Jan 22, 2017",5765.56,5709.7,5765.6,5661.8,3.15B,0.98%
"Jan 15, 2017",5709.69,5776.8,5817.8,5702.2,3.40B,-1.16%
"Jan 08, 2017",5776.8,5809,5876.8,5766.2,3.62B,-0.55%
"Jan 01, 2017",5808.98,5720.7,5818.4,5720.7,2.36B,1.57%
"Dec 25, 2016",5719.14,5675.1,5746.7,5675.1,1.31B,0.78%
"Dec 18, 2016",5675.13,5589.7,5697.1,5587.3,3.50B,1.53%
"Dec 11, 2016",5589.68,5615.8,5650.5,5568.9,5.32B,-0.46%
"Dec 04, 2016",5615.78,5502.6,5620.6,5443.5,4.14B,2.06%
"Nov 27, 2016",5502.63,5570.5,5570.5,5485.6,4.87B,-1.22%
"Nov 20, 2016",5570.5,5427.5,5583.5,5404.3,4.07B,2.63%
"Nov 13, 2016",5427.53,5446.6,5446.6,5358.6,4.49B,-0.35%
"Nov 06, 2016",5446.6,5263.1,5446.6,5138.9,5.02B,3.49%
"Oct 30, 2016",5263.12,5370.9,5412.7,5260.9,3.79B,-2.01%
"Oct 23, 2016",5370.9,5513.9,5534.9,5347.3,3.99B,-2.59%
"Oct 16, 2016",5513.85,5518.5,5540.2,5468.7,3.75B,-0.08%
"Oct 09, 2016",5518.47,5548.5,5578.9,5505.4,3.67B,-0.54%
"Oct 02, 2016",5548.47,5525.2,5578.9,5525.2,3.54B,0.42%
"Sep 25, 2016",5525.15,5518.6,5560.7,5462.1,3.77B,0.12%
"Sep 18, 2016",5518.65,5396.7,5521.9,5372.9,3.58B,2.26%
"Sep 11, 2016",5396.73,5440.5,5440.5,5294.1,5.22B,-0.80%
"Sep 04, 2016",5440.45,5470.6,5537.1,5434.4,4.05B,-0.55%
"Aug 28, 2016",5470.57,5607.4,5608.5,5460.9,4.35B,-2.44%
"Aug 21, 2016",5607.35,5625.4,5666.5,5603.9,4.15B,-0.32%
"Aug 14, 2016",5625.37,5626.3,5642.3,5596.3,3.80B,-0.02%
"Aug 07, 2016",5626.3,5585.6,5641.5,5575.7,3.62B,0.73%
"Jul 31, 2016",5585.64,5644,5691.8,5551.35,3.66B,-1.03%
