DATE,PRICE,Open,High,Low,Vol.,Change %
"Sep 03, 2017",21797.79,21912.37,21921.09,21709.63,1.27B,-0.86%
"Aug 27, 2017",21987.56,21832.5,22038.97,21673.58,1.32B,0.80%
"Aug 20, 2017",21813.67,21671.36,21912.83,21600.34,1.20B,0.64%
"Aug 13, 2017",21674.51,21945.64,22085.71,21641.63,1.39B,-0.84%
"Aug 06, 2017",21858.32,22100.2,22179.11,21842.74,1.29B,-1.06%
"Jul 30, 2017",22092.81,21863.39,22092.81,21861.71,1.51B,1.20%
"Jul 23, 2017",21830.31,21577.78,21841.18,21496.13,1.56B,1.16%
"Jul 16, 2017",21580.07,21633.97,21661.91,21471.14,1.43B,-0.27%
"Jul 09, 2017",21637.74,21381.23,21681.53,21279.3,1.25B,1.04%
"Jul 02, 2017",21414.34,21392.3,21562.75,21305.38,1.02B,0.30%
"Jun 25, 2017",21349.63,21434.68,21506.21,21197.08,1.46B,-0.21%
"Jun 18, 2017",21394.76,21444.75,21535.03,21333.89,1.53B,0.05%
"Jun 11, 2017",21384.28,21259.95,21391.97,21186.15,2.07B,0.53%
"Jun 04, 2017",21271.97,21195.03,21305.35,21113.31,1.55B,0.31%
"May 28, 2017",21206.29,21045.49,21225.04,20942.57,1.22B,0.60%
"May 21, 2017",21080.28,20867.77,21112.32,20860.16,1.28B,1.32%
"May 14, 2017",20804.84,20923.63,21033.53,20553.45,1.84B,-0.44%
"May 07, 2017",20896.61,20991.26,21046.85,20798.9,1.41B,-0.53%
"Apr 30, 2017",21006.94,20962.73,21006.94,20847.95,1.47B,0.32%
"Apr 23, 2017",20940.51,20723.59,21070.9,20723.59,1.65B,1.91%
"Apr 16, 2017",20547.76,20484.75,20644.41,20379.55,1.47B,0.46%
"Apr 09, 2017",20453.25,20668.22,20750.33,20453.25,989.08M,-0.98%
"Apr 02, 2017",20656.1,20665.17,20887.5,20517.82,1.28B,-0.03%
"Mar 26, 2017",20663.22,20488.35,20753.78,20412.8,1.38B,0.32%
"Mar 19, 2017",20596.72,20916.27,20970.04,20529.67,1.52B,-1.52%
"Mar 12, 2017",20914.62,20899.28,21000.11,20786.31,1.64B,0.06%
"Mar 05, 2017",20902.98,20955.71,20986.43,20777.16,1.43B,-0.49%
"Feb 26, 2017",21005.71,20808.71,21169.11,20774.76,1.56B,0.88%
"Feb 19, 2017",20821.76,20663.43,20840.7,20663.37,1.24B,0.96%
"Feb 12, 2017",20624.05,20338.54,20639.87,20322.95,1.75B,1.75%
"Feb 05, 2017",20269.37,20025.61,20298.21,20002.81,1.48B,0.99%
"Jan 29, 2017",20071.46,20028.62,20081.48,19784.77,1.81B,-0.11%
"Jan 22, 2017",20093.78,19794.79,20125.58,19732.36,1.77B,1.34%
"Jan 15, 2017",19827.25,19848.82,19882.99,19677.94,1.36B,-0.29%
"Jan 08, 2017",19885.73,19931.41,19973.42,19770.47,1.49B,-0.39%
"Jan 01, 2017",19963.8,19872.86,19999.63,19775.93,1.17B,1.02%
"Dec 25, 2016",19762.6,19943.46,19981.11,19718.67,790.84M,-0.86%
"Dec 18, 2016",19933.81,19836.66,19987.63,19832.95,1.26B,0.46%
"Dec 11, 2016",19843.41,19770.2,19966.43,19747.74,2.06B,0.44%
"Dec 04, 2016",19756.85,19244.35,19757.74,19184.74,1.65B,3.06%
"Nov 27, 2016",19170.42,19122.14,19225.29,19062.22,528.27M,0.10%
"Nov 20, 2016",19152.14,18898.68,19152.14,18883.1,289.60M,1.51%
"Nov 13, 2016",18867.93,18876.77,18934.05,18806.06,500.04M,0.11%
"Nov 06, 2016",18847.66,17994.64,18873.66,17994.64,618.07M,5.36%
"Oct 30, 2016",17888.28,18176.6,18193.68,17883.56,475.59M,-1.50%
"Oct 23, 2016",18161.19,18197.14,18275.04,18062.3,449.46M,0.09%
"Oct 16, 2016",18145.71,18135.85,18252.2,18049.77,445.46M,0.04%
"Oct 09, 2016",18138.38,18282.95,18399.96,17959.95,403.16M,-0.56%
"Oct 02, 2016",18240.49,18279.6,18319.73,18116.26,385.75M,-0.37%
"Sep 25, 2016",18308.15,18217.76,18369.62,18052.16,508.65M,0.26%
"Sep 18, 2016",18261.45,18154.82,18449.88,18093.05,404.85M,0.76%
"Sep 11, 2016",18123.8,18028.95,18358.69,17992.21,687.55M,0.21%
"Sep 04, 2016",18085.45,18493.4,18551.54,18085.45,351.02M,-2.20%
"Aug 28, 2016",18491.96,18421.29,18544.76,18295.48,380.79M,0.52%
"Aug 21, 2016",18395.4,18535.86,18631.6,18335.34,362.92M,-0.85%
"Aug 14, 2016",18552.57,18588.59,18668.44,18468.68,364.83M,-0.13%
"Aug 07, 2016",18576.47,18540.65,18638.34,18468.78,327.73M,0.18%
"Jul 31, 2016",18543.53,18434.5,18543.53,18247.79,408.63M,0.60%
"Jul 24, 2016",18432.24,18554.49,18555.69,18368.82,470.84M,-0.75%
"Jul 17, 2016",18570.85,18521.55,18622.01,18469.67,429.12M,0.29%
"Jul 10, 2016",18516.55,18161.53,18557.43,18161.53,462.75M,2.04%
"Jul 03, 2016",18146.74,17904.45,18166.77,17713.45,371.71M,1.10%
"Jun 26, 2016",17949.37,17355.21,18002.38,17063.08,572.49M,3.15%
"Jun 19, 2016",17400.75,17736.87,18011.07,17356.34,611.07M,-1.55%
"Jun 12, 2016",17675.16,17830.5,17893.28,17471.29,630.19M,-1.06%
"Jun 05, 2016",17865.34,17825.69,18016,17812.34,382.10M,0.33%
"May 29, 2016",17807.06,17891.5,17899.24,17664.79,383.76M,-0.37%
"May 22, 2016",17873.22,17507.04,17891.71,17480.05,395.58M,2.13%
"May 15, 2016",17500.94,17531.76,17755.8,17331.07,478.34M,-0.20%
"May 08, 2016",17535.32,17743.85,17934.61,17512.48,423.98M,-1.16%
"May 01, 2016",17740.63,17783.78,17912.35,17580.38,433.74M,-0.19%
"Apr 24, 2016",17773.64,17990.94,18084.66,17651.98,523.02M,-1.28%
"Apr 17, 2016",18003.75,17890.2,18167.63,17848.22,516.26M,0.59%
"Apr 10, 2016",17897.46,17586.48,17962.14,17553.57,482.50M,1.82%
"Apr 03, 2016",17576.96,17799.39,17806.38,17484.23,469.97M,-1.21%
"Mar 27, 2016",17792.75,17526.08,17811.48,17434.27,443.44M,1.58%
"Mar 20, 2016",17515.73,17589.7,17648.94,17399.01,348.19M,-0.49%
"Mar 13, 2016",17602.3,17207.49,17620.58,17120.35,747.10M,2.26%
"Mar 06, 2016",17213.31,16991.29,17220.09,16821.86,566.37M,1.21%
"Feb 28, 2016",17006.77,16634.15,17062.38,16510.4,533.77M,2.20%
"Feb 21, 2016",16639.97,16417.13,16795.98,16165.86,486.63M,1.51%
"Feb 14, 2016",16391.99,16012.39,16511.84,16012.39,505.41M,2.62%
"Feb 07, 2016",15973.84,16147.51,16201.89,15503.01,720.52M,-1.43%
"Jan 31, 2016",16204.97,16453.63,16510.98,15960.45,653.03M,-1.59%
"Jan 24, 2016",16466.3,16086.46,16466.3,15863.72,727.87M,2.32%
"Jan 17, 2016",16093.51,16009.45,16171.96,15450.56,627.22M,0.66%
"Jan 10, 2016",15988.08,16358.71,16593.51,15842.11,796.84M,-2.19%
"Jan 03, 2016",16346.45,17405.48,17405.48,16314.57,692.14M,-6.19%
"Dec 27, 2015",17425.03,17535.66,17750.02,17421.16,283.08M,-0.72%
"Dec 20, 2015",17552.17,17154.94,17607.92,17116.73,339.65M,2.47%
"Dec 13, 2015",17128.55,17277.11,17796.76,17124.31,850.10M,-0.79%
"Dec 06, 2015",17265.21,17845.49,17845.49,17230.5,577.22M,-3.26%
"Nov 29, 2015",17847.63,17802.84,17901.58,17425.56,626.93M,0.28%
"Nov 22, 2015",17798.49,17823.61,17868.18,17683.51,391.21M,-0.14%
"Nov 15, 2015",17823.81,17229.94,17914.34,17210.43,679.37M,3.35%
"Nov 08, 2015",17245.24,17900.78,17900.78,17238.89,573.38M,-3.71%
"Nov 01, 2015",17910.33,17672.62,17977.85,17655.02,499.38M,1.40%
"Oct 25, 2015",17663.54,17649.57,17799.96,17540.57,587.01M,0.10%
"Oct 18, 2015",17646.7,17209.43,17679.37,17129.19,642.71M,2.50%
"Oct 11, 2015",17215.97,17082.29,17220.02,16887.67,560.84M,0.77%
"Oct 04, 2015",17084.49,16502.1,17110.88,16502.1,567.82M,3.72%
"Sep 27, 2015",16472.37,16313.26,16472.77,15942.37,655.14M,0.97%
"Sep 20, 2015",16314.67,16406.1,16578.6,16016.36,548.77M,-0.43%
"Sep 13, 2015",16384.58,16450.86,16933.43,16330.87,756.64M,-0.30%
"Sep 06, 2015",16433.09,16109.93,16664.65,16109.93,469.98M,2.05%
"Aug 30, 2015",16102.38,16632.02,16632.02,15979.95,683.30M,-3.25%
"Aug 23, 2015",16643.01,16459.75,16669.97,15370.33,1.02B,1.11%
"Aug 16, 2015",16459.75,17472.66,17568.4,16459.55,611.70M,-5.82%
"Aug 09, 2015",17477.4,17375.18,17629.13,17125.81,486.50M,0.60%
"Aug 02, 2015",17373.38,17696.74,17704.76,17279.08,467.36M,-1.79%
"Jul 26, 2015",17689.86,17561.78,17783.59,17399.17,497.22M,0.69%
"Jul 19, 2015",17568.53,18085.91,18137.12,17553.73,479.68M,-2.86%
"Jul 12, 2015",18086.45,17787.27,18131.61,17787.27,435.12M,1.84%
"Jul 05, 2015",17760.41,17728.08,17797.49,17465.68,452.12M,0.17%
"Jun 28, 2015",17730.11,17936.74,17936.74,17576.5,412.91M,-1.21%
"Jun 21, 2015",17946.68,18027.63,18188.81,17890.36,495.84M,-0.38%
"Jun 14, 2015",18015.95,17890.76,18174.73,17698.42,614.60M,0.65%
"Jun 07, 2015",17898.84,17849.46,18109.77,17714.97,447.09M,0.28%
"May 31, 2015",17849.46,18017.82,18168.09,17822.9,418.92M,-0.90%
"May 24, 2015",18010.68,18229.75,18229.75,17967.74,413.16M,-1.21%
"May 17, 2015",18232.02,18267.25,18351.36,18217.14,409.62M,-0.22%
"May 10, 2015",18272.56,18187.78,18272.72,17924.8,460.31M,0.45%
"May 03, 2015",18191.11,18026.02,18205.23,17733.12,457.67M,0.93%
"Apr 26, 2015",18024.06,18097.89,18175.56,17774.89,569.03M,-0.31%
"Apr 19, 2015",18080.14,17841.18,18133.03,17841.18,508.97M,1.42%
"Apr 12, 2015",17826.3,18052.32,18169.26,17748.53,544.91M,-1.28%
"Apr 05, 2015",18057.65,17755.5,18066.76,17646.8,452.96M,1.66%
"Mar 29, 2015",17763.24,17727.48,18008.64,17585.01,414.24M,0.29%
"Mar 22, 2015",17712.66,18136.73,18205.93,17579.27,512.78M,-2.29%
"Mar 15, 2015",18127.65,17751.24,18197.29,17697.52,757.34M,2.13%
"Mar 08, 2015",17749.31,17856.56,18031.04,17620.49,533.57M,-0.60%
"Mar 01, 2015",17856.78,18134.05,18288.63,17825.15,443.72M,-1.52%
"Feb 22, 2015",18132.7,18140.76,18244.38,18054.84,426.08M,-0.04%
"Feb 15, 2015",18140.44,18019.8,18144.29,17878.37,364.37M,0.67%
"Feb 08, 2015",18019.35,17821.49,18037.41,17685.32,463.80M,1.09%
"Feb 01, 2015",17824.29,17169.99,17951.09,17037.76,497.00M,3.84%
"Jan 25, 2015",17164.95,17668.11,17696.36,17136.3,619.39M,-2.87%
"Jan 18, 2015",17672.6,17516.96,17840.89,17346.73,424.23M,0.92%
"Jan 11, 2015",17511.57,17742.05,17923.01,17243.55,536.02M,-1.27%
"Jan 04, 2015",17737.37,17821.3,17916.04,17262.37,517.34M,-0.54%
"Dec 28, 2014",17832.99,18046.58,18073.04,17731.3,260.46M,-1.22%
"Dec 21, 2014",18053.71,17812.25,18103.45,17812.25,276.78M,1.40%
"Dec 14, 2014",17804.8,17285.74,17874.03,17067.59,816.59M,3.03%
"Dec 07, 2014",17280.83,17954.94,17960.56,17280.83,516.24M,-3.78%
"Nov 30, 2014",17958.79,17827.27,17991.19,17726.55,423.13M,0.73%
"Nov 23, 2014",17828.24,17812.63,17893.42,17790.89,321.61M,0.10%
"Nov 16, 2014",17810.06,17631.85,17894.83,17603.89,450.22M,0.99%
"Nov 09, 2014",17634.74,17568.98,17705.48,17536.17,353.68M,0.35%
"Nov 02, 2014",17573.93,17390.9,17575.33,17278.36,390.98M,1.05%
"Oct 26, 2014",17390.52,16796.1,17395.54,16729.83,434.69M,3.48%
"Oct 19, 2014",16805.41,16373.15,16811.71,16260.54,481.31M,2.59%
"Oct 12, 2014",16380.41,16535.43,16602.41,15855.12,648.20M,-0.99%
"Oct 05, 2014",16544.1,17010.34,17099.39,16543.91,481.47M,-2.74%
