DATE,PRICE,Open,High,Low,Change %
"Jun 10, 2018",0.7444,0.7609,0.7627,0.744,-2.05%
"Jun 03, 2018",0.76,0.7562,0.7677,0.7553,0.42%
"May 27, 2018",0.7568,0.7549,0.7595,0.7476,0.25%
"May 20, 2018",0.7549,0.7525,0.7606,0.7501,0.48%
"May 13, 2018",0.7513,0.7542,0.7568,0.7448,-0.40%
"May 06, 2018",0.7543,0.7525,0.7567,0.7411,0.01%
"Apr 29, 2018",0.7542,0.7574,0.7583,0.7472,-0.53%
"Apr 22, 2018",0.7582,0.7666,0.7683,0.7531,-1.19%
"Apr 15, 2018",0.7673,0.7767,0.7813,0.7653,-1.22%
"Apr 08, 2018",0.7768,0.7669,0.7811,0.7651,1.17%
"Apr 01, 2018",0.7678,0.7689,0.7729,0.765,-0.01%
"Mar 25, 2018",0.7679,0.7702,0.7758,0.7641,-0.25%
"Mar 18, 2018",0.7698,0.7718,0.7784,0.7671,-0.23%
"Mar 11, 2018",0.7716,0.7851,0.7917,0.7708,-1.72%
"Mar 04, 2018",0.7851,0.7767,0.7855,0.7725,1.12%
"Feb 25, 2018",0.7764,0.7834,0.7895,0.7712,-1.02%
"Feb 18, 2018",0.7844,0.7913,0.7937,0.7791,-0.87%
"Feb 11, 2018",0.7913,0.781,0.7991,0.7773,1.27%
"Feb 04, 2018",0.7814,0.7927,0.7955,0.7759,-1.38%
"Jan 28, 2018",0.7923,0.8113,0.8121,0.7919,-2.33%
"Jan 21, 2018",0.8112,0.7994,0.8137,0.7956,1.49%
"Jan 14, 2018",0.7993,0.7907,0.8041,0.7897,1.01%
"Jan 07, 2018",0.7913,0.7849,0.7916,0.7804,0.62%
"Dec 31, 2017",0.7864,0.7803,0.7876,0.7794,0.79%
"Dec 24, 2017",0.7802,0.7714,0.7825,0.7706,1.11%
"Dec 17, 2017",0.7716,0.7643,0.7722,0.764,0.93%
"Dec 10, 2017",0.7645,0.7512,0.7695,0.7501,1.85%
"Dec 03, 2017",0.7506,0.761,0.7654,0.75,-1.37%
"Nov 26, 2017",0.761,0.7614,0.7644,0.7549,-0.05%
"Nov 19, 2017",0.7614,0.7561,0.7641,0.7531,0.63%
"Nov 12, 2017",0.7566,0.7654,0.7669,0.7534,-1.25%
"Nov 05, 2017",0.7662,0.765,0.7701,0.7625,0.14%
"Oct 29, 2017",0.7651,0.7662,0.773,0.7637,-0.36%
"Oct 22, 2017",0.7679,0.781,0.7836,0.7624,-1.79%
"Oct 15, 2017",0.7819,0.7875,0.789,0.7806,-0.89%
"Oct 08, 2017",0.7889,0.7745,0.7898,0.7745,1.52%
"Oct 01, 2017",0.7771,0.784,0.7876,0.7732,-0.80%
"Sep 24, 2017",0.7834,0.7963,0.7976,0.7798,-1.62%
"Sep 17, 2017",0.7963,0.7998,0.8103,0.7907,-0.49%
"Sep 10, 2017",0.8002,0.8068,0.8072,0.7954,-0.71%
"Sep 03, 2017",0.8059,0.7933,0.8125,0.7931,1.14%
"Aug 27, 2017",0.7968,0.7932,0.7996,0.7869,0.43%
"Aug 20, 2017",0.7934,0.7913,0.7954,0.7864,0.04%
"Aug 13, 2017",0.7931,0.789,0.7965,0.7808,0.47%
"Aug 06, 2017",0.7894,0.7921,0.7954,0.7842,-0.40%
"Jul 30, 2017",0.7926,0.7986,0.8046,0.7893,-0.76%
"Jul 23, 2017",0.7987,0.7908,0.8066,0.7876,0.91%
"Jul 16, 2017",0.7915,0.7821,0.7994,0.7788,1.05%
"Jul 09, 2017",0.7833,0.7604,0.7839,0.7588,2.98%
"Jul 02, 2017",0.7606,0.7681,0.7696,0.7568,-1.11%
"Jun 25, 2017",0.7691,0.7569,0.7716,0.7559,1.61%
"Jun 18, 2017",0.7569,0.7612,0.7633,0.7536,-0.68%
"Jun 11, 2017",0.7621,0.7528,0.764,0.7522,1.21%
"Jun 04, 2017",0.753,0.7427,0.7571,0.7415,1.13%
"May 28, 2017",0.7446,0.7434,0.748,0.7373,-0.01%
"May 21, 2017",0.7447,0.7452,0.7518,0.742,-0.19%
"May 14, 2017",0.7461,0.7388,0.7471,0.7382,1.02%
"May 07, 2017",0.7386,0.7404,0.7425,0.7327,-0.47%
"Apr 30, 2017",0.7421,0.7459,0.7559,0.7369,-0.91%
"Apr 23, 2017",0.7489,0.757,0.7595,0.7441,-0.72%
"Apr 16, 2017",0.7543,0.7568,0.7611,0.7489,-0.45%
"Apr 09, 2017",0.7577,0.7499,0.76,0.7474,1.03%
"Apr 02, 2017",0.75,0.762,0.7645,0.7494,-1.69%
"Mar 26, 2017",0.7629,0.7614,0.768,0.7584,0.08%
"Mar 19, 2017",0.7623,0.77,0.775,0.7602,-1.03%
"Mar 12, 2017",0.7702,0.7547,0.7723,0.7531,2.12%
"Mar 05, 2017",0.7542,0.7581,0.7634,0.749,-0.70%
"Feb 26, 2017",0.7595,0.7668,0.7709,0.7541,-1.03%
"Feb 19, 2017",0.7674,0.7666,0.7746,0.765,0.04%
"Feb 12, 2017",0.7671,0.7678,0.7734,0.7617,-0.07%
"Feb 05, 2017",0.7676,0.7673,0.7695,0.7609,-0.09%
"Jan 29, 2017",0.7683,0.7537,0.7696,0.7523,1.75%
"Jan 22, 2017",0.7551,0.756,0.7613,0.7512,-0.07%
"Jan 15, 2017",0.7556,0.7494,0.7591,0.7458,0.72%
"Jan 08, 2017",0.7502,0.7295,0.7521,0.7287,2.80%
"Jan 01, 2017",0.7298,0.7232,0.7363,0.7167,1.14%
"Dec 25, 2016",0.7216,0.7164,0.7247,0.7153,0.46%
"Dec 18, 2016",0.7183,0.7288,0.7315,0.7157,-1.68%
"Dec 11, 2016",0.7306,0.745,0.7526,0.7262,-1.97%
"Dec 04, 2016",0.7453,0.745,0.751,0.741,-0.12%
"Nov 27, 2016",0.7462,0.7429,0.75,0.7369,0.24%
"Nov 20, 2016",0.7444,0.7345,0.7482,0.7319,1.43%
"Nov 13, 2016",0.7339,0.7529,0.7587,0.7331,-2.82%
"Nov 06, 2016",0.7552,0.7672,0.778,0.7521,-1.58%
"Oct 30, 2016",0.7673,0.7593,0.7699,0.7578,0.96%
"Oct 23, 2016",0.76,0.76,0.7713,0.756,-0.09%
"Oct 16, 2016",0.7607,0.7614,0.7739,0.7583,-0.18%
"Oct 09, 2016",0.7621,0.7585,0.7657,0.7513,0.58%
"Oct 02, 2016",0.7577,0.7655,0.7693,0.7552,-1.14%
"Sep 25, 2016",0.7664,0.7626,0.772,0.7597,0.56%
"Sep 18, 2016",0.7621,0.7487,0.7678,0.7471,1.75%
"Sep 11, 2016",0.749,0.7541,0.757,0.7441,-0.68%
"Sep 04, 2016",0.7541,0.7564,0.7735,0.7537,-0.41%
"Aug 28, 2016",0.7572,0.7558,0.7618,0.749,0.11%
"Aug 21, 2016",0.7564,0.7607,0.7692,0.7548,-0.84%
"Aug 14, 2016",0.7628,0.765,0.7754,0.76,-0.25%
"Aug 07, 2016",0.7647,0.7613,0.7757,0.7595,0.35%
"Jul 31, 2016",0.762,0.759,0.7664,0.7496,0.30%
"Jul 24, 2016",0.7597,0.7461,0.7612,0.7419,1.75%
"Jul 17, 2016",0.7466,0.758,0.7611,0.7443,-1.48%
"Jul 10, 2016",0.7578,0.7566,0.7674,0.752,0.13%
"Jul 03, 2016",0.7568,0.7445,0.7573,0.7405,0.93%
"Jun 26, 2016",0.7498,0.7457,0.7508,0.7319,0.47%
"Jun 19, 2016",0.7463,0.7404,0.7653,0.7307,0.86%
"Jun 12, 2016",0.7399,0.7375,0.7447,0.7286,0.37%
"Jun 05, 2016",0.7372,0.7366,0.7505,0.7313,0.05%
"May 29, 2016",0.7368,0.7184,0.7372,0.7149,2.58%
"May 22, 2016",0.7183,0.7225,0.7262,0.7146,-0.54%
"May 15, 2016",0.7222,0.7254,0.7369,0.7176,-0.63%
"May 08, 2016",0.7268,0.7359,0.7407,0.7256,-1.37%
"May 01, 2016",0.7369,0.7601,0.7723,0.734,-3.08%
"Apr 24, 2016",0.7603,0.7702,0.7766,0.7546,-1.36%
"Apr 17, 2016",0.7708,0.764,0.784,0.7592,-0.19%
"Apr 10, 2016",0.7723,0.755,0.7741,0.753,2.22%
"Apr 03, 2016",0.7555,0.7676,0.7682,0.7493,-1.50%
"Mar 27, 2016",0.767,0.75,0.7722,0.7491,2.16%
"Mar 20, 2016",0.7508,0.7601,0.7651,0.7478,-1.25%
"Mar 13, 2016",0.7603,0.7547,0.7684,0.7418,0.50%
"Mar 06, 2016",0.7565,0.742,0.7585,0.7392,1.65%
"Feb 28, 2016",0.7442,0.713,0.7446,0.7107,4.38%
"Feb 21, 2016",0.713,0.715,0.7261,0.7117,-0.28%
"Feb 14, 2016",0.715,0.7107,0.7188,0.7067,0.61%
"Feb 07, 2016",0.7107,0.7075,0.7161,0.698,0.51%
"Jan 31, 2016",0.7071,0.709,0.7252,0.7008,-0.20%
"Jan 24, 2016",0.7085,0.6995,0.7143,0.6918,1.17%
"Jan 17, 2016",0.7003,0.6869,0.7047,0.6827,1.95%
"Jan 10, 2016",0.6869,0.6953,0.705,0.6826,-1.21%
"Jan 03, 2016",0.6953,0.7298,0.7302,0.6951,-4.73%
"Dec 27, 2015",0.7298,0.7275,0.7329,0.7244,0.75%
"Dec 20, 2015",0.7244,0.7167,0.7312,0.7155,1.00%
"Dec 13, 2015",0.7172,0.7205,0.7286,0.7094,-0.22%
"Dec 06, 2015",0.7188,0.7337,0.7346,0.7171,-2.08%
"Nov 29, 2015",0.7341,0.7194,0.7388,0.717,2.03%
"Nov 22, 2015",0.7195,0.7231,0.7286,0.7159,-0.62%
"Nov 15, 2015",0.724,0.7128,0.7251,0.7069,1.53%
"Nov 08, 2015",0.7131,0.704,0.716,0.7015,1.18%
"Nov 01, 2015",0.7048,0.7119,0.7225,0.702,-1.27%
"Oct 25, 2015",0.7139,0.7208,0.7272,0.7066,-1.05%
"Oct 18, 2015",0.7215,0.7268,0.731,0.7183,-0.63%
"Oct 11, 2015",0.7261,0.7326,0.7387,0.7199,-1.02%
"Oct 04, 2015",0.7336,0.7044,0.7349,0.704,4.09%
"Sep 27, 2015",0.7048,0.702,0.7086,0.6936,0.34%
"Sep 20, 2015",0.7024,0.7194,0.72,0.694,-2.30%
"Sep 13, 2015",0.7189,0.708,0.7282,0.7062,1.38%
"Sep 06, 2015",0.7091,0.6922,0.7104,0.6897,2.66%
"Aug 30, 2015",0.6907,0.7164,0.7174,0.6904,-3.71%
"Aug 23, 2015",0.7173,0.7309,0.7314,0.7053,-2.02%
"Aug 16, 2015",0.7321,0.7376,0.7391,0.7285,-0.68%
"Aug 09, 2015",0.7371,0.7407,0.7441,0.7218,-0.65%
"Aug 02, 2015",0.7419,0.7304,0.743,0.7259,1.56%
"Jul 26, 2015",0.7305,0.728,0.7367,0.7235,0.32%
"Jul 19, 2015",0.7282,0.7372,0.7451,0.7259,-1.22%
"Jul 12, 2015",0.7372,0.7418,0.749,0.7349,-0.99%
"Jul 05, 2015",0.7446,0.7486,0.7542,0.7378,-0.85%
"Jun 28, 2015",0.751,0.7627,0.774,0.7507,-1.89%
"Jun 21, 2015",0.7655,0.7762,0.7799,0.763,-1.49%
"Jun 14, 2015",0.7771,0.7718,0.7851,0.7644,0.52%
"Jun 07, 2015",0.7731,0.7622,0.78,0.7609,1.32%
"May 31, 2015",0.763,0.7639,0.7821,0.7598,-0.14%
"May 24, 2015",0.7641,0.7826,0.7844,0.762,-2.41%
"May 17, 2015",0.783,0.8027,0.8054,0.7806,-2.54%
"May 10, 2015",0.8034,0.795,0.8167,0.7878,1.27%
"May 03, 2015",0.7933,0.7836,0.8036,0.7802,1.03%
"Apr 26, 2015",0.7852,0.7821,0.8077,0.7792,0.43%
"Apr 19, 2015",0.7818,0.7832,0.7847,0.7686,0.54%
"Apr 12, 2015",0.7776,0.7682,0.7848,0.7556,1.20%
"Apr 05, 2015",0.7684,0.7619,0.7746,0.7582,0.69%
"Mar 29, 2015",0.7631,0.7742,0.776,0.7532,-1.56%
"Mar 22, 2015",0.7752,0.7784,0.7945,0.7746,-0.28%
"Mar 15, 2015",0.7774,0.764,0.7852,0.7597,1.79%
"Mar 08, 2015",0.7637,0.7706,0.7746,0.7564,-1.05%
"Mar 01, 2015",0.7718,0.7844,0.7866,0.7709,-1.20%
"Feb 22, 2015",0.7812,0.7846,0.7914,0.7739,-0.40%
"Feb 15, 2015",0.7843,0.7764,0.7851,0.7748,0.95%
"Feb 08, 2015",0.7769,0.7768,0.7842,0.7641,-0.36%
"Feb 01, 2015",0.7797,0.7736,0.788,0.7628,0.36%
"Jan 25, 2015",0.7769,0.7893,0.8027,0.772,-1.76%
"Jan 18, 2015",0.7908,0.8223,0.8247,0.7883,-3.88%
"Jan 11, 2015",0.8227,0.8205,0.8298,0.8069,0.27%
"Jan 04, 2015",0.8205,0.8081,0.8213,0.8035,1.43%
"Dec 28, 2014",0.8089,0.8116,0.8217,0.8078,-0.36%
"Dec 21, 2014",0.8118,0.8144,0.8176,0.8087,-0.32%
"Dec 14, 2014",0.8144,0.8246,0.8276,0.8106,-1.22%
"Dec 07, 2014",0.8245,0.83,0.838,0.8218,-0.97%
"Nov 30, 2014",0.8326,0.8499,0.8545,0.8314,-2.16%
"Nov 23, 2014",0.851,0.867,0.8701,0.8478,-1.85%
"Nov 16, 2014",0.867,0.876,0.8799,0.8569,-0.88%
"Nov 09, 2014",0.8747,0.8638,0.8776,0.8592,1.30%
"Nov 02, 2014",0.8635,0.875,0.8764,0.854,-1.85%
"Oct 26, 2014",0.8798,0.8796,0.8914,0.8757,0.03%
"Oct 19, 2014",0.8795,0.8744,0.8833,0.8716,0.59%
"Oct 12, 2014",0.8743,0.869,0.8861,0.8649,0.69%
"Oct 05, 2014",0.8683,0.8675,0.8901,0.8651,0.09%
"Sep 28, 2014",0.8675,0.8768,0.8828,0.8643,-1.03%
"Sep 21, 2014",0.8765,0.8925,0.8951,0.8748,-1.80%
"Sep 14, 2014",0.8926,0.9023,0.9117,0.8923,-1.25%
"Sep 07, 2014",0.9039,0.9365,0.9376,0.903,-3.61%
"Aug 31, 2014",0.9378,0.9331,0.9404,0.9264,0.43%
"Aug 24, 2014",0.9338,0.932,0.9378,0.9274,0.25%
"Aug 17, 2014",0.9315,0.9322,0.935,0.9243,-0.06%
"Aug 10, 2014",0.9321,0.9277,0.9339,0.925,0.46%
"Aug 03, 2014",0.9278,0.9313,0.9375,0.9237,-0.35%
"Jul 27, 2014",0.9311,0.9403,0.9421,0.9277,-0.89%
"Jul 20, 2014",0.9395,0.9393,0.9473,0.9361,0.04%
"Jul 13, 2014",0.9391,0.9391,0.9413,0.9329,-0.02%
"Jul 06, 2014",0.9393,0.9369,0.9456,0.9342,0.31%
"Jun 29, 2014",0.9364,0.9423,0.9509,0.9333,-0.64%
"Jun 22, 2014",0.9424,0.9372,0.945,0.9356,0.38%
"Jun 15, 2014",0.9388,0.9401,0.9434,0.9322,-0.15%
"Jun 08, 2014",0.9402,0.9336,0.9439,0.9328,0.74%
"Jun 01, 2014",0.9333,0.9314,0.9358,0.923,0.23%
"May 25, 2014",0.9312,0.9232,0.9332,0.9214,0.88%
"May 18, 2014",0.9231,0.9362,0.9381,0.921,-1.42%
"May 11, 2014",0.9364,0.9358,0.9411,0.9328,0.00%
"May 04, 2014",0.9364,0.9277,0.9397,0.9254,0.95%
"Apr 27, 2014",0.9276,0.9274,0.9318,0.9203,0.01%
"Apr 20, 2014",0.9275,0.9327,0.9377,0.925,-0.62%
"Apr 13, 2014",0.9333,0.9389,0.9429,0.9322,-0.68%
"Apr 06, 2014",0.9397,0.9296,0.9466,0.9256,1.13%
"Mar 30, 2014",0.9292,0.9248,0.9308,0.9204,0.48%
"Mar 23, 2014",0.9248,0.9086,0.9296,0.9052,1.83%
"Mar 16, 2014",0.9082,0.9011,0.914,0.8992,0.59%
"Mar 09, 2014",0.9029,0.9058,0.9108,0.8927,-0.48%
"Mar 02, 2014",0.9073,0.8911,0.9134,0.889,1.61%
"Feb 23, 2014",0.8929,0.8982,0.9052,0.8904,-0.52%
"Feb 16, 2014",0.8976,0.9054,0.9082,0.8935,-0.63%
"Feb 09, 2014",0.9033,0.8965,0.9072,0.891,0.84%
"Feb 02, 2014",0.8958,0.8753,0.9,0.8731,2.31%
"Jan 26, 2014",0.8756,0.8691,0.8828,0.8678,0.84%
"Jan 19, 2014",0.8683,0.8772,0.889,0.866,-1.13%
"Jan 12, 2014",0.8782,0.9004,0.9091,0.8763,-2.38%
"Jan 05, 2014",0.8996,0.8951,0.9007,0.8866,0.55%
"Dec 29, 2013",0.8947,0.8873,0.9008,0.8834,0.88%
"Dec 22, 2013",0.8869,0.8921,0.8959,0.8858,-0.58%
"Dec 15, 2013",0.8921,0.896,0.897,0.8821,-0.46%
"Dec 08, 2013",0.8962,0.9124,0.9167,0.8907,-1.55%
"Dec 01, 2013",0.9103,0.911,0.9171,0.8991,-0.10%
"Nov 24, 2013",0.9112,0.9165,0.9205,0.9053,-0.64%
"Nov 17, 2013",0.9171,0.9372,0.9452,0.9144,-2.13%
"Nov 10, 2013",0.9371,0.9385,0.9396,0.9277,-0.15%
"Nov 03, 2013",0.9385,0.9443,0.9544,0.9352,-0.55%
"Oct 27, 2013",0.9437,0.9579,0.9623,0.9421,-1.53%
"Oct 20, 2013",0.9584,0.9669,0.976,0.9573,-0.96%
"Oct 13, 2013",0.9677,0.9441,0.968,0.941,2.22%
"Oct 06, 2013",0.9467,0.9453,0.9488,0.9392,0.35%
"Sep 29, 2013",0.9434,0.9312,0.946,0.9281,1.27%
"Sep 22, 2013",0.9316,0.9365,0.9458,0.9296,-0.83%
"Sep 15, 2013",0.9394,0.9259,0.9529,0.9254,1.61%
"Sep 08, 2013",0.9245,0.9205,0.9356,0.9169,0.64%
"Sep 01, 2013",0.9186,0.8945,0.9221,0.8926,3.21%
"Aug 25, 2013",0.89,0.9042,0.9073,0.8891,-1.39%
"Aug 18, 2013",0.9025,0.918,0.9237,0.8935,-1.74%
"Aug 11, 2013",0.9185,0.9185,0.9224,0.9062,-0.09%
"Aug 04, 2013",0.9193,0.8903,0.9219,0.8851,3.27%
"Jul 28, 2013",0.8902,0.9264,0.9292,0.8878,-3.90%
"Jul 21, 2013",0.9263,0.9175,0.9322,0.9131,0.98%
"Jul 14, 2013",0.9173,0.9064,0.9297,0.9038,1.37%
"Jul 07, 2013",0.9049,0.9051,0.9307,0.9001,-0.20%
"Jun 30, 2013",0.9067,0.9135,0.9258,0.9041,-0.77%
"Jun 23, 2013",0.9137,0.9212,0.9345,0.9112,-0.89%
"Jun 16, 2013",0.9219,0.9542,0.9646,0.9165,-3.65%
"Jun 09, 2013",0.9568,0.9433,0.9667,0.9326,0.77%
"Jun 02, 2013",0.9495,0.9638,0.9797,0.9433,-0.81%
"May 26, 2013",0.9573,0.9657,0.9698,0.9528,-0.77%
"May 19, 2013",0.9647,0.9728,0.9845,0.9595,-0.83%
"May 12, 2013",0.9728,1.0006,1.0019,0.9712,-2.94%
"May 05, 2013",1.0023,1.0316,1.0316,0.996,-2.87%
"Apr 28, 2013",1.0319,1.028,1.039,1.0224,0.38%
"Apr 21, 2013",1.028,1.0273,1.0341,1.0221,0.05%
"Apr 14, 2013",1.0275,1.0522,1.0528,1.0272,-2.22%
"Apr 07, 2013",1.0508,1.0379,1.0584,1.035,1.27%
"Mar 31, 2013",1.0376,1.0412,1.0499,1.0355,-0.41%
"Mar 24, 2013",1.0419,1.0435,1.0499,1.0395,-0.25%
"Mar 17, 2013",1.0445,1.0338,1.0461,1.0336,0.35%
"Mar 10, 2013",1.0409,1.0209,1.0419,1.0205,1.72%
"Mar 03, 2013",1.0233,1.0193,1.0304,1.0116,0.29%
"Feb 24, 2013",1.0203,1.0301,1.0329,1.018,-1.13%
"Feb 17, 2013",1.032,1.0294,1.037,1.0218,0.14%
"Feb 10, 2013",1.0306,1.0321,1.0375,1.0224,-0.14%
"Feb 03, 2013",1.032,1.0405,1.046,1.0255,-0.84%
"Jan 27, 2013",1.0407,1.0416,1.0477,1.0359,-0.16%
"Jan 20, 2013",1.0424,1.0512,1.058,1.0399,-0.83%
"Jan 13, 2013",1.0511,1.0538,1.0582,1.0485,-0.24%
"Jan 06, 2013",1.0536,1.047,1.0602,1.0464,0.53%
"Dec 30, 2012",1.048,1.0372,1.053,1.0359,1.03%
"Dec 23, 2012",1.0373,1.0396,1.0425,1.0345,-0.27%
"Dec 16, 2012",1.0401,1.0567,1.0571,1.0391,-1.52%
"Dec 09, 2012",1.0562,1.0487,1.0587,1.0458,0.71%
